RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
102001,0,United States,country,,1287.1665231078698,1294.0713148861366,1303.2338407696163,1313.3078153971705,1323.3853131499786,1332.2516925015786,1338.6221862178904,1342.535480209674,1344.2815637999663,1344.7937659507584,1345.1074227398196,1345.734672779867,1349.0877519511323,1354.4662701564212,1361.0941485579624,1371.2972257448298,1381.1760365781656,1390.9412947633741,1394.2959406168418,1395.3507133334624,1394.6407167711836,1391.8657475151138,1389.2658969503564,1386.6473290712424,1392.9533109014708,1401.8135986835762,1414.5009307851246,1423.4173643934632,1432.9580867484542,1440.4998936397199,1445.5254118430191,1447.2926949003838,1447.7440377125154,1446.4036800452593,1446.3352930194833,1447.403139665613,1452.5131829888292,1460.3257925050623,1470.4835593328946,1480.8065625568347,1489.8284114713215,1497.7472081128337,1503.5140126885908,1506.9534648206634,1506.6912580368555,1505.947726625196,1506.4949962817602,1508.790189579577,1513.5518378553713,1520.3819096534235,1530.8678613872519,1541.2689431911344,1551.395364480424,1560.0583467220513,1566.5004255474125,1570.0940412604511,1570.3241221353653,1569.2392789282826,1568.2025338715328,1569.3945811287424,1574.8003124303668,1583.6609587651524,1591.990394080351,1591.7494894013741,1589.4664701912427,1588.8063746671444,1593.5912888727055,1595.0885945850068,1593.2103969493999,1591.4956874991142,1592.8363857029146,1595.3472273025397,1600.8582826462807,1609.4795315925192,1624.9190901989384,1646.9620667454053,1675.549905186679,1708.3188942662937,1742.2806597995443,1774.270830728469,1800.1251273731455,1817.1407850828102,1828.6474528750566,1839.5909488878895,1851.8663634524926,1868.8338372948533,1886.4208789379716,1908.46375678045,1931.143940864782,1955.0216856464224,1975.0207885156037,1987.569867090712,1992.8172517237726,1992.02520588353,1988.1397018717203,1986.0863927511866,1987.169868592703,1992.4908024542838,2000.6385932760234,2011.437641390607,2023.9701925916715,2035.106243307564,2045.4960956499563,2052.2605920843757
394913,1,"New York, NY",msa,NY,2453.2353665159717,2469.8943338921467,2488.393968611082,2511.412354348392,2527.4732907006282,2546.0985244365847,2558.4356301716134,2569.5701353960535,2573.440980031972,2569.8817673511357,2560.720014209979,2550.0474578320404,2547.2618870733545,2550.888028404285,2559.172098420876,2573.751070481444,2590.6701934713233,2609.1058596525168,2621.1519542022183,2625.6818254355326,2624.639417028909,2616.1339312647906,2606.895039901442,2590.033873302264,2588.3672537882844,2589.3342936985723,2604.6986618347046,2617.215668417519,2637.337945218255,2653.65767249851,2664.577235181887,2665.9459531048715,2664.3766487249313,2650.229557991868,2634.523837696769,2619.4291847405684,2616.9106756445153,2624.2497998000754,2637.8786023852617,2659.37934045301,2678.9218995632273,2697.24150546532,2709.846016543758,2719.3726196171574,2719.653020999421,2710.1075938256354,2697.570488365241,2686.971345851629,2685.6672007210454,2695.6031666963495,2710.819514774933,2729.387281208795,2750.3122285569907,2774.085756031127,2790.531080002522,2798.015807534446,2795.233481870744,2790.381970475265,2777.019176125823,2769.153702622006,2769.097604407407,2784.320535626701,2794.8497571711646,2787.001790487072,2767.4570999840194,2741.910957297062,2715.2688626684044,,,2562.4927784435004,2530.8133186972555,2516.2383197409636,2511.6030249685487,2522.102228451543,2546.0043233965853,2578.7328671764585,2626.6375926101423,2685.3769290407226,2752.4352774136096,2817.5323937198664,2870.451963245906,2904.2650416345605,2926.4140708136647,2946.6193595928066,2972.845037299802,3011.4244561484597,3052.9817167115157,3099.914287201871,3155.8774996600064,3218.1749522711757,3271.725312401336,3301.105516030012,3302.55986635136,3283.8217891495083,3249.2528003532216,3224.7765545617585,3217.7822893117536,3233.0206588593574,3259.551328639274,3297.3491362773234,3338.670412511133,3377.335270588747,3402.91248020877,3411.9995300879273
753899,2,"Los Angeles, CA",msa,CA,1897.013065363495,1908.858461979674,1924.352039025374,1939.063137413602,1954.146174661119,1966.7167275224726,1980.8342237915547,1991.4283533705247,2000.592923521707,2005.9471977150772,2010.7005571421134,2017.5965037033202,2027.732418305126,2041.0334565371725,2052.6261457075902,2064.2357939170593,2076.9590709144354,2090.2244995564565,2099.940850691011,2106.606142562864,2112.091747513637,2112.5734023243704,2112.7045766824376,2110.9316925274056,2129.3436578191245,2148.165515379942,2174.507801550749,2187.250754134134,2201.0658832532545,2210.794200480049,2219.8092492686906,2226.175791186557,2231.393281916517,2233.5434822116176,2238.792453257028,2242.793097213557,2252.6904824122234,2262.760300083031,2274.9954400823485,2286.501599081746,2296.9605684798025,2308.7120757321172,2318.5774639409583,2327.5291281832624,2332.976517235112,2338.175130143161,2344.6558828762927,2349.8145283034614,2355.4663822362704,2359.7816507753005,2371.9138668131873,2382.559270241092,2394.214795818959,2403.6060950007904,2412.029966574483,2418.6113197398213,2422.1703744015963,2424.04781933782,2427.4885180235424,2431.811465040553,2441.378711251168,2446.341424505342,2446.70749858275,2431.876203185657,2418.418150391979,2408.7420912355874,2409.413856289523,2409.2457170121024,2410.908902791974,2414.402134628289,2420.624427039412,2421.353777836578,2423.8680357637904,2428.8289374743476,2442.239717150315,2458.1097873285066,2481.4743297789028,2518.912138774891,2568.1655125795137,2624.9709634795713,2667.3204014521066,2698.214660978102,2714.5651752251247,2734.80422935011,2754.55950939959,2781.2474344132756,2808.660974872826,2839.800889414463,2869.997329714549,2896.0371763825515,2918.9397929086713,2936.618671644446,2944.4019217866457,2942.115031927604,2933.586814180426,2928.844920205992,2924.728287691402,2930.9289158126107,2938.4778529197606,2953.409287049784,2960.495267679273,2971.8021487919605,2985.99519295481,3000.2665169719644
394463,3,"Chicago, IL",msa,IL,1440.9199669960826,1448.441180448365,1459.7473722680736,1469.8210122166433,1481.0232649535576,1489.796016251968,1494.8782158923657,1497.083968394147,1491.6368418071527,1484.3932402740315,1478.1372585025765,1478.4950968643236,1486.7910218800662,1495.704745774343,1507.3515543317953,1515.409314133635,1525.916211400142,1535.8102049214333,1543.1391034124626,1546.6349372430539,1539.4934966765882,1526.1320673810885,1508.670063123591,1498.2307100371163,1507.0163632275785,1524.396130195617,1546.0135516585412,1557.6709513637882,1569.0482152414675,1574.712942981824,1576.794957767849,1572.1055326761611,1565.8633489439085,1555.0356953383236,1548.011673494231,1546.322761973426,1554.3284357786779,1565.8285189918872,1578.193184207984,1589.6428547716762,1600.076138951058,1608.8898210339535,1612.568745058449,1609.5337138728723,1599.2023596466308,1588.0689949037667,1581.8176870022753,1582.7414706379727,1591.2061366943158,1601.75928637444,1617.4343713536045,1631.2149346992119,1642.9742452001178,1650.4279253428658,1653.4068857849013,1654.1130785614055,1649.2989243216334,1641.4621855621776,1633.7238891670222,1628.7975237225942,1638.6036987624846,1650.2256577163728,1664.7367403322257,1664.8105968593343,1663.11319317025,1659.3290237747133,1658.1075889115427,1651.5249754724878,1637.0207808187047,1617.2594885257663,1601.8666644458021,1592.9584802304396,1590.4692803600892,1596.9146998472538,1614.8171810384817,1643.5585272854703,1673.0496732125262,1698.3088744091651,1717.5173634870364,1730.939922796038,1738.391907084867,1739.5655368213957,1740.4024120592082,1746.4246841259499,1760.40156633516,1777.4368688036504,1798.1085017223804,1821.0431130138081,1846.0346124160994,1866.576259929176,1883.9569482947604,1890.8810051617538,1893.5964892354773,1892.909693332063,1889.5355319911325,1891.7923214097418,1897.58966373499,1909.6612578288448,1922.673763348785,1938.8247296034767,1961.9714147600914,1982.9078491689493,1996.6138062538619,2004.006214964477
394514,4,"Dallas, TX",msa,TX,1150.7558384894257,1155.7190488493131,1164.057070647048,1174.9138137591951,1185.5603399939553,1194.0988372914671,1201.8580253581829,1204.9029383467466,1205.873720691928,1205.6043591515538,1207.8021133903117,1210.5594436372248,1212.8471822795668,1217.9806968217579,1226.929776218323,1237.5672794230268,1246.141288055793,1253.2868459495503,1257.9603401870652,1260.7679328789225,1259.7261374665702,1258.692363176384,1258.5565448938632,1258.981070538568,1266.5428765487206,1273.7925408851288,1287.168200128482,1295.6273737016156,1308.0117018346625,1314.5131197049727,1319.5429899307617,1320.8095300985415,1320.3854378871079,1318.8596494875887,1320.017063582915,1321.073490978321,1325.9514582141878,1332.7324926236192,1340.25735149712,1347.393128154298,1352.5671762529935,1361.0132669282043,1365.3097829408198,1367.6086267413875,1365.1508751316762,1367.718749389064,1367.900447470183,1369.9428732216413,1371.5993002086882,1377.0475387285371,1388.2601583344922,1398.0466748806755,1406.758307944738,1413.6668593682036,1417.83026898315,1420.7444276999097,1421.0162713391114,1421.3535733098595,1418.713458553306,1415.2624219987763,1416.527083814119,1423.4272978992399,1431.2736145536164,1432.2041680966915,1429.980214337331,1430.426735194642,1434.1570257809083,1439.3716576454494,1442.9253522324288,1448.0493539063134,1452.5345684725064,1456.8492008140784,1457.9961982012305,1462.4297047032937,1471.679219816102,1493.7476881030311,1523.7095316071131,1559.7326086866697,1595.9308028905793,1629.6458677865976,1655.7121684198376,1672.2228500029707,1684.7445391359518,1695.4383936789466,1708.1179890693818,1721.1719628511667,1734.4449360669998,1755.4129922943082,1780.3803076137126,1812.1695839262727,1834.1533619522356,1843.3230972784445,1840.4660854952683,1831.498686465521,1822.1983401937464,1813.6567614261726,1810.8710345979225,1813.3187661213901,1818.8831628713474,1822.4955296550322,1829.7756772697182,1838.7440474575124,1848.4771219397044,1850.9911747355545
394692,5,"Houston, TX",msa,TX,1261.513995871765,1265.8392631060074,1272.6792690972773,1284.9820431382016,1295.2973532194678,1304.797277146099,1306.8853205769763,1306.9060436352852,1301.999840057941,1297.3712103502498,1293.9466695308208,1292.8271849537366,1293.995438527245,1295.3160508809815,1300.6571325029945,1305.3633274826814,1309.208176261264,1308.8073571199652,1306.2415092449646,1301.3041291607474,1294.5814425199203,1284.4211651851172,1274.7257432211397,1267.6723464724068,1276.3528664964053,1289.7778829876704,1304.7262521196853,1308.948650248231,1316.8775942608806,1318.5640190799193,1319.6050565977139,1314.6641188635895,1322.4460690271849,1330.9027260986848,1341.9170529307871,1347.8335714424366,1350.2256433341818,1355.6331929849082,1356.1534771170288,1363.850687137779,1365.9435016512655,1372.0957335112294,1371.7991742201464,1371.1095600759193,1366.8804475924205,1365.6761112200923,1367.762154280585,1367.6099908787992,1369.2548018177201,1368.4429781519266,1375.0997935489459,1380.4413724145006,1389.2428209369286,1395.628763487546,1399.0498657766389,1397.8819712822183,1394.5036791225468,1394.1260042141685,1394.6896237741885,1398.3729775799989,1401.5452702253428,1408.1115793432893,1413.275220504299,1409.3059859130362,1401.3823312372756,1395.1202836831858,1399.0938317141329,1404.0450453544502,1405.7189377237967,1408.3256962788678,1412.1952571164077,1413.4745712025874,1412.8246735483524,1408.3369613127174,1414.0886260622403,1426.7368761672426,1450.5980323983788,1478.745049105109,1506.2755728331463,1530.3012861474363,1544.3976138485214,1552.4806839854598,1557.1743806003992,1562.6464073205702,1570.6518743658874,1580.7197461233682,1591.3025873889715,1602.6933407401364,1614.6337008238233,1629.2076162776546,1641.4021449981055,1648.4737576681705,1645.5350315648443,1640.732463847704,1637.5620613494611,1637.1417083099498,1644.9069033978947,1652.2514077271794,1661.7884838992572,1665.868004684266,1674.9966074783106,1684.9450207628327,1692.0004201339584,1693.535611004837
395209,6,"Washington, DC",msa,VA,1781.8343105242216,1788.312286866763,1800.696296409821,1808.1932729908112,1818.6552947029106,1825.7441384908159,1829.3405922479637,1826.3704104080234,1825.1464821274956,1821.583481537317,1821.027963715993,1816.1956443332629,1817.9780571339713,1821.8112449378818,1829.6842171702776,1838.9651897580072,1849.899929739478,1858.9508977174382,1862.8313052853593,1862.525057203028,1858.523879914541,1848.0192744230233,1839.2419299840149,1832.7135268397249,1840.8087024126376,1855.2801837264292,1871.531914115044,1883.5862769928074,1889.7388461948437,1897.2500629960568,1900.043976520103,1899.3826346307856,1896.6045579989957,1891.3217318433703,1886.063059394103,1882.2769219571805,1886.811127232684,1893.1515750857277,1905.8016798429808,1917.265284499099,1929.0792438080316,1937.54317722564,1942.7768478303683,1945.9879790841774,1941.2147001099956,1937.324151003811,1938.0641276696122,1942.485710001215,1948.0246754659167,1954.3482860493355,1964.1946591864007,1975.1837238256896,1986.3100239915736,1995.9901210122193,2002.0459474818922,2004.247991810225,2004.4921922845997,1999.2325716586522,1992.9778539092501,1991.9618365496185,2000.6120913078337,2009.83731547289,2020.2478936777427,2018.0388763334436,2014.4129133613712,2006.9932133632158,2004.6527830887212,2000.3876751703242,1988.8729021781414,1973.7065827590654,1955.4076840716666,1939.9611029583214,1935.3802841231889,1940.2113444894733,1951.5593257354494,1970.0831918848673,1999.355581817164,2038.6127638446549,2077.6471108526716,2110.633877832266,2131.3349340554796,2142.5361110897575,2143.8252686606643,2146.294825342633,2148.3533118450723,2159.7830829714103,2177.2143942545094,2201.754517922449,2228.5454055044615,2255.050331619901,2280.332647176197,2291.8566403200903,2293.439490308372,2280.56186193916,2266.1210817618244,2254.1685128553722,2251.7978431893466,2261.3909172860504,2274.115776789523,2291.416983578871,2309.6478217286344,2330.1460972076484,2348.929207784322,2362.6178729852677
394974,7,"Philadelphia, PA",msa,PA,1288.081393097407,1294.265977038823,1307.2485065163514,1314.951616370362,1322.2924033838456,1324.5362306332038,1326.2691299186697,1326.2048526547144,1324.8992651449228,1323.6644648669082,1320.0226443829079,1315.2267322419646,1315.659037564651,1325.445271263004,1337.5201685270106,1348.8739089114167,1355.615040248259,1362.4001662487594,1363.3639898503206,1362.6058557742413,1358.6973599107798,1352.8954819163753,1354.9651696392211,1353.6666889143255,1361.3973238684648,1364.9032975167154,1377.9676209243048,1385.1481828874598,1391.1750255136326,1391.7373943193982,1392.9800923627813,1393.9920463426563,1394.5136897191019,1393.3010668851712,1391.4310974490372,1393.219160381297,1396.9107033239102,1405.1169634313649,1415.4075881820575,1424.7409806103326,1432.8819642799442,1437.000986821179,1438.8646066933873,1438.4156018442056,1437.0823098946591,1438.5641126024814,1440.8716280083438,1440.1215228314313,1443.7796610506664,1451.1699037333776,1465.513453839133,1476.0144278625557,1482.335289384947,1489.299627897758,1493.463003226273,1494.276681346901,1491.1176434261808,1490.5257659384533,1491.6687576062977,1494.728153588043,1497.7525105520021,1507.5802432502906,1517.1660994999759,1519.763732386309,1518.124373641608,1518.624292876014,1523.951088564297,1523.4243794156425,1522.7879882992709,1524.212911378743,1529.4821931770982,1531.8301854946912,1531.6702197869633,1534.8593797696697,1543.0540634537253,1560.8447183613723,1582.0572329492986,1603.8360797879322,1623.0071224791664,1642.1863921101085,1657.6545487052138,1669.2753355334662,1676.8153780436428,1688.5723273817619,1700.1700116647899,1712.190402939515,1721.1422881656133,1733.7735505234139,1747.9092759898758,1763.9793380790318,1777.3137301621193,1784.9255134376908,1789.8220345379386,1786.7899420877875,1786.598640322807,1781.4598515409905,1784.2793850895198,1784.2292905331783,1790.8969036521842,1797.054599246352,1808.3674856185653,1815.4495253184537,1826.711975355663,1836.671979430319
394856,8,"Miami, FL",msa,FL,1554.3853369384194,1561.5088006534218,1567.1630946540122,1574.124265031623,1583.9693551358318,1593.6789237966761,1603.3052371486156,1610.8403171711782,1622.6157353281128,1631.7410028266966,1640.7788153496824,1643.5491558740273,1647.3719449523144,1648.7169374303753,1650.9727718580766,1652.9555317909726,1654.5055320333336,1655.750174959244,1656.7750767744901,1659.9931945608407,1665.6496182923427,1668.2148327922969,1672.1989015733511,1668.86959072148,1673.1474540451647,1674.972462753555,1683.5482670403917,1685.1716878327186,1687.6754925660107,1691.7066896011277,1698.5358810533837,1705.8456835506142,1712.6555058669435,1718.9919998233809,1720.8628771965639,1721.8875281819135,1723.2899089730022,1727.5500403256033,1731.8955779864432,1736.277828410478,1740.1723287749699,1745.6520703537142,1752.4522104704922,1759.5464093318005,1765.4339992616722,1771.4080308903222,1777.7671488877043,1784.00648957256,1784.8241593461692,1785.5526951242646,1785.4126903609674,1789.0024403526093,1791.7833329214634,1796.7154564945515,1801.9232049913564,1807.8660005741135,1813.946764052956,1824.0407268294684,1834.3264545977306,1843.3870742732888,1846.0672783659113,1850.2901387819372,1850.4966972024527,1843.3135027446071,1832.1484946798096,1829.510941032777,1834.5486458405314,1840.9327079666386,1846.7873330347327,1861.5776498105251,1882.4236951626547,1900.55871538248,1917.7080910229229,1940.3152913928316,1968.3421625995843,2000.961226002708,2045.05348347185,,,2246.1225741674725,2307.525063434796,2359.7756856705546,2408.5373109342363,2460.3474741004875,2509.5021001571104,2547.615928620222,2591.727736604031,2630.943830004666,2671.631996738366,2693.5878866068065,2712.8366103620306,2720.9598183591916,2733.5894030438176,2742.8636784807222,2757.2003473293344,2760.72710126131,2759.3618525070733,2757.821474628604,2763.2745023310486,2772.640136686046,2781.4085027946007,2788.0977559962275,2793.363032015209,2797.86146090335
394347,9,"Atlanta, GA",msa,GA,1083.5315337494624,1089.0908894368113,1092.5560875678982,1103.798215419199,1112.071115972096,1123.8629324253554,1130.847332029748,1135.0405375760495,1136.8367566233244,1135.9430120864233,1136.741721272778,1139.5613550629564,1144.703316438114,1152.220656180407,1160.6641623984917,1169.8360328017693,1179.3782761151351,1187.567514374322,1195.2209577443812,1199.3088983369441,1200.9531514399937,1199.8795286236702,1199.3869827011777,1201.352856861306,1206.9552803054992,1216.8212456187646,1228.3780926651984,1240.2286192682395,1252.113402563507,1262.813519037516,1272.0609264424515,1276.0274301968782,1277.8925892221268,1276.1074752346344,1277.424928327606,1279.3110996309688,1286.2523377164716,1294.2566518109884,1305.7321961386067,1318.2915007953839,1330.9788749248019,1340.6812084304177,1345.9384387407363,1348.393060903295,1349.8153884894346,1355.7598670478433,1361.1924762892656,1365.8416140527565,1371.6398835503337,1380.1393566104896,1392.8882332712922,1403.7997944281958,1413.808252272649,1422.5627480934754,1428.214992660757,1432.9691904186843,1437.1549756997968,1437.0483774824338,1435.515206019616,1434.993813181808,1440.2279022200082,1449.8229962186986,1457.2319001997882,1459.713139371009,1461.470635187305,1468.1925314813202,1483.2132189576023,1498.044793395753,1509.4116549565392,1517.7301087403039,1525.3430918508495,1533.1161221940363,1544.0850779335058,1560.5382696296776,1580.2494375370077,1605.535960560967,1636.7892317509345,1679.8372628415818,1724.8194278187775,1771.614996466469,1803.786995211156,1827.4134214685364,1834.9428180040313,1839.8437917849615,1844.6260090432686,1853.1310263553476,1868.1068724966842,1882.4563203773996,1902.978206749732,1925.1750716195295,1950.7441906801212,1965.0214116907302,1970.2054941975164,1965.1127269007154,1958.1524281092948,1959.1607165964813,1957.5544773916536,1962.1528870044394,1962.8894663898013,1971.6012285840943,1976.2025528487804,1977.02664634321,1977.995334076613,1978.436119877733
