gig_id,title,currency,cost,search_key,,serach criteria,Average of cost
112068943_31,I will do 3d models or detailed character sculpture for 3d printing,£,21,printing,,,
277247703_32,I will 3d print your miniatures for you on an 8k resin printer,£,21,printing,,,
202757994_33,I will create your funko pop for 3d printing,£,21,printing,,,
191592023_34,I will create any kind of 3d model for printing,£,30,printing,,,
307709952_35,"I will sculpt miniatures, figurines and creatures for 3d printing",£,5,printing,,,
107473358_36,"I will design products for 3d printing, mfg and edit stl files",£,9,printing,,,
247913676_37,"I will sculpt miniatures or bits for 3d printing, warhammer, dnd",£,26,printing,,,
294085503_38,I will support your 3d models and miniatures for resin 3d printing,£,5,printing,,,
255841740_39,"I will model and design 3d shoe, slipper, boots, heels, 3d printing stl and rendering",£,17,printing,,,
311978810_40,I will design 3d model and create ready stl file for 3d printing using tinkercad,£,5,printing,,,
307581238_41,I will design 2d and 3d models with solidworks for 3d printing,£,5,printing,,,
241931589_42,"I will create 3d models, 3d objects, stl for 3d print, renderings",£,5,printing,,,
280462544_43,I will create a custom funko pop for 3d printing,£,17,printing,,,
155038886_44,I will sculpt a 3d character or model for 3d printing,£,51,printing,,,
83770991_45,I will do 3d models for 3d print,£,126,printing,,,
254257096_46,I will design your products for 3d printing and resin printing,£,21,printing,,,
224606247_47,"I will do 3d cad modeling, cad design, 3d printing, stl, dxf, obj",£,9,printing,,,
264466093_0,I will 3d print and paint your model,£,84,painting,,,
237563485_1,I will hand paint stylised textures for your 3d asset,£,26,painting,,,
260035360_2,I will paint miniatures as well as 3d printing or a combination of both,£,80,painting,,,
286869300_3,I will 3d print and paint your model,£,21,painting,,,
254995938_4,I will draw and paint characters in 3d style,£,84,painting,,,
223365141_5,I will create 3d stylised hand painted assets for your project,£,34,painting,,,
287397092_6,I will 3d print and paint your figure,£,42,painting,,,
178231215_7,I will 3d print and or paint your minis,£,5,painting,,,
265161026_8,I will print and paint any 3d model you send to me,£,47,painting,,,
266704304_9,I will 3d print and paint minis so you can play games in full color,£,13,painting,,,
294717503_10,I will made 2d matte painting turn in to 3d realistic scene,£,5,painting,,,
269669959_11,I will do stylized hand painted texture for your 3d model,£,26,painting,,,
271288748_12,"I will hand paint miniatures, sculptures and 3d prints",£,51,painting,,,
296614225_13,"I will paint miniatures warhammer, 3d models, tabletop, boardgames",£,9,painting,,,
302069486_14,I will 3d print and paint your model,£,51,painting,,,
266193697_15,I will 3d print or paint custom figures and models,£,68,painting,,,
195690667_16,"I will create environment concept, 3d modeling and matte painting in any style",£,59,painting,,,
120187763_17,"I will make awesome  3d, 2d digital paintings",£,5,painting,,,
147374999_18,"I will paint fantasy, scifi concept art 3d and 2d",£,26,painting,,,
186855402_19,I will create lowpoly 3d assets with hand painted texture,£,5,painting,,,
282682202_20,"I will paint, texture your 3d model for animation, packaging, nft",£,5,painting,,,
222288637_21,I will create realistic matte painting 3d and 2d,£,252,painting,,,
296422658_22,I will hand painting textures for stylized 3d characters,£,93,painting,,,
232823636_23,I will paint your 3d models,£,17,painting,,,
151250174_24,I will design modern 2d 3d car wash auto detailing auto paint and racing logo,£,42,painting,,,
